"","STAT_ID","duration","Continent","HCO3_avg","HCO3_dif","HCO3_slope","HCO3_rc","sc","sm","Shape_Area","carbonate","sedimentary","slope","annual_runoff"
"53",100138,9.8,"North America",1245.40347727273,376.944,38.6256485120719,29.8701761809783,0.07,0,40394334.54,"low carbonate","low sedimentary","augmented",727
"54",100141,14.8,"North America",1145.0036419214,-390.054,-26.2965847801995,-24.5360497899628,0.13,0,104479621.62,"low carbonate","low sedimentary","diminished",721.33
"55",100145,24.3,"North America",263.610423728814,196.666,8.08095125520657,133.332881355932,0,0,205704072.31,"low carbonate","low sedimentary","augmented",545
"56",100198,21.5,"North America",982.541024096386,-32.778,-1.52718534592801,-2.0408353864344,0.09,0.02,21140851790.76,"low carbonate","low sedimentary","diminished",535.56
"57",100206,29,"North America",221.148265432099,49.167,1.69669613311903,17.647248842468,0,0,158031389.27,"low carbonate","low sedimentary","augmented",573.64
"58",100233,3.3,"North America",1088.55872413793,-983.331,-295.161032072368,-74.0740657041033,0.01,0,925614169.47,"low carbonate","low sedimentary","diminished",657.21
"59",100240,2.1,"North America",1990.34641935484,458.887,213.639993622449,27.4509276092131,0,0,53855620.14,"low carbonate","low sedimentary","augmented",672.86
"60",100259,30,"North America",896.170808139535,729.303,24.3434471879287,153.447989277832,0.03,0.00861398470089166,2087969015.18,"low carbonate","low sedimentary","augmented",658.29
"61",100263,0,"North America",792.127666666667,-557.2205,-22598.3869444444,-47.8873039717843,0,0,115150467.65,"low carbonate","low sedimentary","diminished",604
"62",100264,11.4,"North America",1464.06052727273,442.499,38.694809535218,28.7234056364212,0,0,122993091.12,"low carbonate","low sedimentary","augmented",606.27
"63",100288,0.3,"North America",262.2215,68.833,239.276619047619,30.2157547024868,0,0,618685627.37,"low carbonate","low sedimentary","augmented",745.44
"64",100289,0.3,"North America",494.124,132.75,461.464285714286,31.034555311643,0,0,861339994.51,"low carbonate","low sedimentary","augmented",697.25
"65",100290,0.3,"North America",281.069,77.028,265.237924528302,31.7569211106759,0,0,1184667303.14,"low carbonate","low sedimentary","augmented",684.27
"66",100291,0.3,"North America",382.68,126.194,434.535943396226,39.4870816032142,0,0,154565553.85,"low carbonate","low sedimentary","augmented",713
"67",100292,0.3,"North America",339.249,252.388,877.348761904762,118.461430147145,0,0,292092462.9,"low carbonate","low sedimentary","augmented",750.58
"68",100293,0.3,"North America",445.777,170.444,598.192884615385,47.2726768454189,0,0,117952614.02,"low carbonate","low sedimentary","augmented",713
"69",100294,0.3,"North America",440.0405,93.417,324.735285714286,23.7501652547975,0,0,90080429.17,"low carbonate","low sedimentary","augmented",713
"70",100295,0.3,"North America",518.707,178.638,620.979714285714,41.602932545856,0,0,222000160.58,"low carbonate","low sedimentary","augmented",744.05
"71",100297,0.3,"North America",293.3605,183.555,632.052594339623,91.0567855424316,0,0,178302722.14,"low carbonate","low sedimentary","augmented",791
"72",100298,0.2,"North America",293.3605,91.777,376.388820224719,37.0858117281955,0,0,579177755.35,"low carbonate","low sedimentary","augmented",789.88
"73",100299,0.3,"North America",258.944,258.944,900.138666666667,200,0,0,65051521.7,"low carbonate","low sedimentary","augmented",739.35
"74",100300,0.3,"North America",116.361,52.444,182.305333333333,58.1812533975305,0,0,217784710.85,"low carbonate","low sedimentary","augmented",728.82
"75",100301,0.3,"North America",145.041,73.75,253.950471698113,68.1822384113307,0,0,546922739.57,"low carbonate","low sedimentary","augmented",748.66
